"","employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"1","Employee 1",47563.8093077578,-498.434584587812,47065.37472317,FALSE
"2","Employee 2",44100.5869791843,9918.87517739087,54019.4621565752,TRUE
"3","Employee 3",44168.4594354592,4113.62805287354,48282.0874883328,TRUE
"4","Employee 4",43198.3475363813,2717.16056508012,45915.5081014615,TRUE
"5","Employee 5",48517.545175273,1447.8390221484,49965.3841974214,TRUE
"6","Employee 6",48314.1694590449,1545.75650929473,49859.9259683397,TRUE
"7","Employee 7",45442.2862711363,-173.527025617659,45268.7592455186,FALSE
"8","Employee 8",40253.0382550322,3747.84071231261,44000.8789673448,TRUE
"9","Employee 9",44875.5805986002,1928.83835989051,46804.4189584907,TRUE
"10","Employee 10",45320.2787740156,6472.83843136393,51793.1172053795,TRUE
"11","Employee 11",42428.2532208599,-2446.06117717922,39982.1920436807,FALSE
"12","Employee 12",46389.3059408292,-3800.87006487884,42588.4358759504,FALSE
"13","Employee 13",47159.3059482984,395.859798882157,47555.1657471806,TRUE
"14","Employee 14",46907.5977196917,-516.045385738835,46391.5523339529,FALSE
"15","Employee 15",46650.6939334795,9382.61132920161,56033.3052626811,TRUE
"16","Employee 16",43083.0710171722,-4592.33917528763,38490.7318418846,FALSE
"17","Employee 17",44701.7011977732,-3712.18531392515,40989.5158838481,FALSE
"18","Employee 18",42147.763974499,6987.94852476567,49135.7124992646,TRUE
"19","Employee 19",44340.6588630751,-569.366817362607,43771.2920457125,FALSE
"20","Employee 20",49466.6431169026,-28.4920947160572,49438.1510221865,FALSE
"21","Employee 21",40285.8460927382,1182.84970405512,41468.6957967933,TRUE
"22","Employee 22",41486.4662289619,-1731.02799337357,39755.4382355884,FALSE
"23","Employee 23",48273.2956879772,-337.364503648132,47935.9311843291,FALSE
"24","Employee 24",45615.7889286987,-1735.26241560467,43880.5265130941,FALSE
"25","Employee 25",43888.7467095628,400.376125471666,44289.1228350345,TRUE
"26","Employee 26",43180.3041906096,8207.12060667574,51387.4247972853,TRUE
"27","Employee 27",42408.4869190119,-4804.81319129467,37603.6737277173,FALSE
"28","Employee 28",43908.044018317,5373.35756234825,49281.4015806653,TRUE
"29","Employee 29",44459.3828800134,7767.57176383398,52226.9546438474,TRUE
"30","Employee 30",42665.9964420833,7832.38368108869,50498.380123172,TRUE
"31","Employee 31",48789.7157622501,-480.90037656948,48308.8153856806,FALSE
"32","Employee 32",49468.8596669585,7653.9905986283,57122.8502655867,TRUE
"33","Employee 33",45514.2686422914,-4907.26969554089,40606.9989467505,FALSE
"34","Employee 34",44885.6165423058,5603.99894136935,50489.6154836752,TRUE
"35","Employee 35",45339.7024725564,7221.40751197003,52561.1099845264,TRUE
"36","Employee 36",47328.3690563403,3987.63598524965,51316.00504159,TRUE
"37","Employee 37",41059.971016366,-564.238213701174,40495.7328026649,FALSE
"38","Employee 38",41875.1658475958,8420.32226966694,50295.4881172627,TRUE
"39","Employee 39",44558.1558789127,2941.99350872077,47500.1493876334,TRUE
"40","Employee 40",40490.050802473,7291.92927246913,47781.9800749421,TRUE
"41","Employee 41",40242.2574837692,705.924285575747,40948.181769345,TRUE
"42","Employee 42",42133.4440959617,7154.10508681089,49287.5491827726,TRUE
"43","Employee 43",47224.351412151,-3328.87244760059,43895.4789645504,FALSE
"44","Employee 44",40068.1445072405,2477.00859676115,42545.1531040017,TRUE
"45","Employee 45",48804.9856061116,-2548.88033843599,46256.1052676756,FALSE
"46","Employee 46",49962.5564157031,-831.250514602289,49131.3059011009,FALSE
"47","Employee 47",45061.1890829168,90.893761953339,45152.0828448702,TRUE
"48","Employee 48",48224.8089346103,-438.598629552871,47786.2103050575,FALSE
"49","Employee 49",44283.391807694,5407.50229265541,49690.8941003494,TRUE
"50","Employee 50",47003.8817613386,7775.05077538081,54778.9325367194,TRUE
"51","Employee 51",40216.8789808638,-1926.59605294466,38290.2829279192,FALSE
"52","Employee 52",41939.052247908,5518.57754820958,47457.6297961175,TRUE
"53","Employee 53",44729.8429021612,6068.7844932545,50798.6273954157,TRUE
"54","Employee 54",48630.8955750428,7261.48515590467,55892.3807309475,TRUE
"55","Employee 55",47012.8407212906,-3462.36838260666,43550.4723386839,FALSE
"56","Employee 56",45695.6665986218,-1150.79550305381,44544.8710955679,FALSE
"57","Employee 57",49963.6322166771,8770.26830916293,58733.90052584,TRUE
"58","Employee 58",49341.548467055,6928.30994958058,56269.8584166355,TRUE
"59","Employee 59",40715.2786874212,-3755.58534520678,36959.6933422145,FALSE
"60","Employee 60",45340.0983544998,4204.21643531881,49544.3147898186,TRUE
"61","Employee 61",41115.5717540532,-2393.64396431483,38721.9277897384,FALSE
"62","Employee 62",47952.2862681188,9299.87136274576,57252.1576308645,TRUE
"63","Employee 63",44065.2109915391,-2807.70760960877,41257.5033819303,FALSE
"64","Employee 64",49605.0994773395,1666.5530402679,51271.6525176074,TRUE
"65","Employee 65",48888.3768068627,-205.515919951722,48682.8608869109,FALSE
"66","Employee 66",48067.0904787257,9789.85311463475,57856.9435933605,TRUE
"67","Employee 67",48963.3747306652,-933.073560008779,48030.3011706565,FALSE
"68","Employee 68",48666.9749696739,-587.338962359354,48079.6360073145,FALSE
"69","Employee 69",40364.8268384859,-1166.12956277095,39198.6972757149,FALSE
"70","Employee 70",42579.8715767451,-564.454019768164,42015.4175569769,FALSE
"71","Employee 71",43657.0492875762,-1040.22843530402,42616.8208522722,FALSE
"72","Employee 72",45994.2813636735,4727.89685009047,50722.178213764,TRUE
"73","Employee 73",48339.2273960635,-4474.18579016812,43865.0416058954,FALSE
"74","Employee 74",40890.3918019496,-2473.72396523133,38416.6678367183,FALSE
"75","Employee 75",48801.3779418543,4521.72560268082,53323.1035445351,TRUE
"76","Employee 76",48100.4493916407,-1025.17448132858,47075.2749103121,FALSE
"77","Employee 77",48578.9153422229,-3083.97460030392,45494.940741919,FALSE
"78","Employee 78",44554.9793099053,-2651.12597495317,41903.8533349521,FALSE
"79","Employee 79",43288.8798695058,8421.62147164345,51710.5013411492,TRUE
"80","Employee 80",41476.3708692044,7157.44222979993,48633.8130990043,TRUE
"81","Employee 81",45324.1238603368,4516.52571791783,49840.6495782547,TRUE
"82","Employee 82",42046.463934239,-1360.50818138756,40685.9557528514,FALSE
"83","Employee 83",48684.862528462,-3838.44772237353,44846.4148060884,FALSE
"84","Employee 84",41231.9617252797,6665.70759145543,47897.6693167351,TRUE
"85","Employee 85",49238.5780881159,6219.50568631291,55458.0837744288,TRUE
"86","Employee 86",40310.2616337128,-4915.96097475849,35394.3006589543,FALSE
"87","Employee 87",46233.4436131641,4155.06309014745,50388.5067033116,TRUE
"88","Employee 88",49753.6760405637,3311.92513462156,53065.6011751853,TRUE
"89","Employee 89",46337.69499138,4859.57522527315,51197.2702166531,TRUE
"90","Employee 90",47069.4979303516,8039.05543638393,55108.5533667356,TRUE
"91","Employee 91",46923.9587290213,1620.46681507491,48544.4255440962,TRUE
"92","Employee 92",40034.7139919177,6483.07682829909,46517.7908202168,TRUE
"93","Employee 93",41663.7354996055,5020.56926488876,46684.3047644943,TRUE
"94","Employee 94",44246.3373532519,5105.57695874013,49351.914311992,TRUE
"95","Employee 95",45391.3677483797,8361.37168458663,53752.7394329663,TRUE
"96","Employee 96",46214.1655897722,-1685.39291364141,44528.7726761308,FALSE
"97","Employee 97",42300.8740693331,6563.59674991108,48864.4708192442,TRUE
"98","Employee 98",44017.0863945968,-4286.7790046148,39730.307389982,FALSE
"99","Employee 99",44636.0737201758,3834.54447728582,48470.6181974616,TRUE
"100","Employee 100",41184.2083651572,4870.17302773893,46054.3813928962,TRUE
